date,financialYear,targetTonnes,actualTonnes,salesTonnes,avgMnGradePct,equipmentUptimePct,rainfallMm,blastingShifts,eqDowntime,weatherDowntime,blastingDowntime,logisticsDowntime,powerDowntime,sourceId,sourceName,dataType,isSynthetic
2024-04,FY25,44000,43200,38016,45.2,84.5,12.5,24,18.5,0.0,4.0,8.0,3.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2024-05,FY25,45000,44800,39424,45.0,85.0,22.0,25,16.0,2.0,3.5,7.0,4.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2024-06,FY25,43000,40500,35640,44.8,78.2,145.0,21,28.0,18.5,6.0,12.0,5.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2024-07,FY25,38000,33200,29216,44.5,72.0,312.0,16,42.0,54.0,10.0,18.5,8.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2024-08,FY25,39000,34500,30360,44.4,73.5,285.0,17,38.5,46.0,8.5,16.0,7.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2024-09,FY25,42000,39800,35024,44.8,79.0,168.0,20,26.0,22.0,5.0,11.0,4.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2024-10,FY25,46000,46200,40656,45.3,86.5,35.0,25,14.0,4.0,3.0,6.5,3.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2024-11,FY25,47500,48100,42328,45.5,88.0,10.0,26,12.0,0.0,2.5,5.0,2.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2024-12,FY25,48000,49000,43120,45.6,89.2,5.0,27,10.5,0.0,2.0,4.5,2.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-01,FY25,49000,50200,44176,45.8,90.1,8.0,27,9.5,0.0,2.0,4.0,2.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-02,FY25,48500,49100,43208,45.7,89.5,14.0,26,11.0,0.0,2.5,4.5,2.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-03,FY25,52000,53400,46992,46.0,91.0,18.0,28,8.0,0.0,2.0,3.5,1.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-04,FY26,46000,45600,40128,45.4,85.2,15.0,25,17.0,0.0,3.5,7.5,3.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-05,FY26,47000,47100,41448,45.5,86.0,25.0,25,15.5,1.5,3.0,6.5,3.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-06,FY26,44500,41800,36784,45.0,77.8,162.0,21,30.0,22.0,6.5,13.0,6.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-07,FY26,39500,34200,30096,44.6,71.5,335.0,16,45.0,58.0,11.0,20.0,9.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-08,FY26,40500,35800,31504,44.7,73.0,298.0,17,40.0,50.0,9.0,17.5,7.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-09,FY26,43500,41200,36256,45.0,80.1,175.0,21,24.0,20.0,4.5,10.0,4.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-10,FY26,48000,48900,43032,45.6,87.5,42.0,26,13.5,3.5,2.5,5.5,2.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-11,FY26,49500,50800,44704,45.8,89.0,8.0,27,11.0,0.0,2.0,4.5,2.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2025-12,FY26,50500,52100,45848,46.0,90.5,3.0,28,9.0,0.0,1.5,4.0,1.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2026-01,FY26,51500,53400,46992,46.2,91.4,5.0,28,8.5,0.0,1.5,3.5,1.5,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2026-02,FY26,51000,52800,46464,46.1,90.8,11.0,27,9.5,0.0,2.0,4.0,2.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
2026-03,FY26,55000,57200,50336,46.5,92.5,16.0,29,7.0,0.0,1.5,3.0,1.0,src-moil-ar-2025,MOIL Limited Statutory Disclosures,OFFICIAL_MOIL,false
