date,targetTonnes,actualTonnes,avgMnGradePct,equipmentUptimePct,rainfallMm,blastingShifts,eqDowntime,weatherDowntime,blastingDowntime,logisticsDowntime,powerDowntime
2025-04,45000,43200,46.1,84.5,12.0,22,24,2,4,12,6
2025-05,45000,44100,46.3,86.0,18.0,22,20,4,3,10,4
2025-06,45000,42800,45.8,82.0,85.0,20,32,18,6,14,8
2025-07,45000,37900,44.9,71.5,280.0,14,64,96,28,24,16
2025-08,45000,36400,44.5,68.0,340.0,12,78,124,34,28,20
2025-09,45000,39200,45.2,74.0,195.0,16,56,62,20,18,12
2025-10,45000,43800,46.0,85.2,35.0,22,26,6,6,12,6
2025-11,45000,45200,46.4,88.0,10.0,23,18,0,4,8,4
2025-12,45000,46100,46.5,89.5,5.0,24,14,0,3,6,2
2026-01,45000,44800,46.2,87.0,8.0,23,22,0,4,8,4
2026-02,45000,39600,45.5,73.2,25.0,19,54,8,12,18,10
2026-03,45000,41200,45.9,76.5,15.0,20,44,4,8,14,8
